Blog	four	looking	here	reports	music	until	want	how	series	wasn	service	listen	project	tech	came	saying	best	country	much	life	things	had	easy	possible	right	old	son	support	happy	time	team	sign	alone	along	love	working	allowed	such	data	years	course	didn	internet	million	quite	vote	open	future	say	take	pages	ways	going	jobs	many	wants	former	technology	being	around	world	power	her	hey	gone	certain	am	tv	th	paying	large	small	past	full	hours	social	via	company	learn	lives	states	information	its	always	found	police	really	try	major	number	self	also	play	plan	cover	set	seo	available	let	community	rules	recent	makes	couple	d	line	posted	us	points	ago	having	code	results	race	challenge	video	great	involved	tools	illegal	next	baby	process	high	doing	could	start	system	haven	face	should	hope	email	site	vs	off	less	web	government	five	does	three	details	rule	worth	above	employees	word	work	interview	after	law	order	office	then	safe	network	another	do	com	board	night	security	asking	marketing	post	months	way	dead	test	together	guy	change	extra	market	live	heard	write	remember	still	half	year	space	shows	cars	than	online	only	between	notice	article	comes	these	worry	media	real	read	early	using	benefit	business	aren	low	lot	trying	month	very	learned	ask	history	help	actually	event	since	reason	put	latest	pretty	during	x	won	probably	both	else	look	while	ready	used	game	popular	run	step	become	similar	uber	doesn	e	go	facebook	click	win	started	meet	links	including	hands	university	special	completely	florida	times	quality	privacy	need	able	based	she	state	problem	well	page	twitter	home	freedom	stories	piece	star	friends	companies	even	ever	never	met	type	tell	rights	give	quot	president	before	personal	better	weeks	went	side	content	reader	isn	features	matter	seen	seem	don	m	bad	said	against	appeared	seven	human	yes	track	super	magazine	down	form	drive	digital	weekend	daily	finally	me	did	boy	making	may	man	talk	nbsp	group	interesting	texas	earlier	where	thing	think	fast	little	anyone	eyes	were	show	enough	morning	behind	reading	across	according	those	different	pay	same	money	again	important	u	starting	children	public	airport	published	two	share	needs	coming	already	through	late	good	everyone	house	hard	idea	done	least	part	believe	build	most	services	particularly	find	blogging	point	create	understand	bill	fun	ceo	big	bit	google	often	either	use	immigration	access	others	private	f	ll	day	february	announced	south	national	taking	general	almost	thought	add	although	buy	under	every	school	street	would	phone	must	keep	end	writing	each	got	free	wanted	days	top	too	took	though	watch	report	however	news	players	quickly	several	donald	everything	head	hear	check	cool	says	goes	continue	trump	huge	happened	name	turn	place	given	white	r	any	later	federal	review	outside	come	case	myself	someone	week	without	seems	blog	legal	there	follow	thursday	program	woman	far	list	design	version	court	goal	rather	short	might	health	friday	feel	story	store	kind	nothing	his	him	recently	political	questions	question	long	called	problems	once	issues	deals	apple	few	women	something	six	instead	light	looks	related	our	york	conversation	which	who	why	local	words	job	april	perhaps	gets	whole	book	know	because	getting	own	made	whether	below	happen	allow	percent	other
Captain's Quarters	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	3	0	0	2	0	0	1	0	1	1	0	0	0	0	0	1	1	0	0	0	0	1	3	3	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	2	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	1	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	2	3	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	2	0	1	0	4	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	1	1	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	4	0	0	1	6	1	0	0	0	0	0	0	1	1	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
blog maverick	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	2	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	1	1	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	3	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	3	0	0	0	2	0	0	0	0	0	2	0	1	0	0	0	0	1	0	0	1	0	0	0	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	2	0	0	0	4	0	0	0	0	0	1	0	0	3	2	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	2	2	1	0	2	0	0	1	0	0	0	0	0	2	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	1	0	4	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	4	3	1	0	0	0	0	0	0	0	1	0	0	2	0	1	0	0	4	0	0	0	1	2	0	2	0	0	0	0	0	3	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	1	1	0	0	0	0	3	0	0	1	0	0	0	0	0	3	1	0	1	2	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	1
plasticbag.org	0	0	1	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	1	1	1	1	0	0	1	0	0	1	0	3	0	0	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	2	0	1	5	0	2	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	0	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	1	3	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	2	0	1	0	6	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	1	0	2	0	2	0	0	0	0	1	1	3	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	2	1	1	0	0	1	0	0	0	0	3	1	0	0	0	0	0	0	0	3	0	2	0	1	0	1	0	0	0	0	0	0
Autoblog	3	0	1	0	0	0	0	1	3	0	1	0	0	7	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	6	0	0	0	1	0	0	0	0	0	5	0	0	0	0	0	0	1	5	1	3	0	0	1	0	0	0	0	5	0	3	0	5	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	7	0	0	0	0	0	0	0	3	1	0	0	0	0	0	1	0	0	0	0	1	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	39	0	0	5	1	0	5	0	0	7	0	0	0	1	3	0	3	0	0	0	0	0	0	1	0	4	5	0	0	4	0	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	1	0	5	0	3	5	6	0	0	1	0	0	0	1	0	0	2	0	0	0	1	0	3	0	1	0	0	1	0	0	4	0	0	0	0	0	0	3	3	0	6	0	1	0	0	1	0	3	0	0	0	0	3	0	0	7	0	12	2	0	0	0	0	0	0	0	0	0	7	0	0	1	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	4	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	3	0	0	0	0	0	4	0	0	0	39	0	0	0	5	0	0	3	0	11	0	0	0	0	0	0	0	0	2	0	0	156	0	0	0	0	0	0	0	0	1	0	0	1	13	0	0	0	39	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	40	0	0	0	0	3	2	0	0	0	0	0	0	0	3	0	1	0	0	39	0	0	0	0	0	0	0	4	0	0	0	0	1	0	4	1	0	1	3	1	0	2	0	0	0	0	0	0	0	0	3	1	0	39	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0	0	0	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	43	2	0	0	0	3	0	0	0	3	0	6	1	0	0	0	0	0	0	0	0	0	0	0	1
Daily Kos	6	3	16	4	0	6	15	23	1	3	4	5	2	0	3	4	1	10	10	5	10	20	2	5	21	9	2	18	3	30	4	3	2	5	4	6	4	5	3	12	6	7	0	16	0	18	6	3	25	9	0	2	22	16	14	9	11	0	12	5	4	5	24	4	3	3	2	0	1	5	1	5	7	2	4	5	4	6	2	2	45	6	16	3	3	7	13	3	5	6	1	25	3	16	8	9	0	2	14	7	3	3	4	2	11	2	0	19	4	4	3	0	1	2	2	5	8	2	0	4	8	0	3	5	11	23	2	2	2	6	7	3	0	1	0	10	7	0	25	1	6	10	1	8	0	2	4	0	12	2	19	17	8	5	14	4	1	9	27	4	9	12	15	4	0	7	1	13	3	3	2	2	8	3	2	5	4	0	5	13	4	20	0	0	1	30	0	26	12	2	0	3	18	2	30	8	2	4	2	4	7	2	11	6	8	8	11	3	3	4	10	11	2	10	5	5	5	6	13	7	6	4	6	4	12	15	3	3	1	13	3	1	1	4	0	13	1	9	1	1	5	3	2	0	11	3	7	4	2	3	21	2	0	13	5	5	21	29	5	5	2	3	3	2	9	2	3	3	2	23	7	10	0	1	5	13	9	0	29	14	4	9	2	3	0	3	0	7	2	4	0	1	16	7	4	58	18	1	5	3	2	2	0	2	11	2	0	0	5	10	1	5	12	4	9	13	7	3	0	6	0	5	2	9	11	13	1	6	2	1	27	15	4	11	4	0	2	11	24	5	3	9	5	5	8	15	2	2	17	1	0	13	1	5	6	6	8	2	12	5	64	4	3	5	6	12	8	0	15	6	1	9	0	4	1	4	14	0	1	15	1	0	1	3	12	3	6	4	6	2	15	12	21	2	2	7	7	3	3	5	2	2	2	15	11	12	1	40	1	8	7	4	0	5	8	8	2	4	6	8	1	9	4	8	4	32	0	1	4	39	6	2	5	2	0	10	5	3	197	2	4	2	4	3	2	43	3	7	4	14	1	3	4	4	0	2	29	6	4	1	5	22	2	7	6	4	7	6	2	1	2	2	2	0	13	19	13	2	16	0	3	8	57	21	1	8	1	2	7	3	2	2	4	1	0	6	7	13	3	4	2	2	2	14	13	2	37	61	9	9	2	10	2	1	2	2	0	20	28	10	8	10	4	4	3	3	24	17
Google Blogoscoped	0	0	2	0	0	0	2	5	0	0	6	0	0	1	0	0	4	0	4	0	1	3	1	1	1	0	0	0	0	4	0	0	0	0	2	2	0	0	0	1	0	0	0	0	0	1	2	1	0	1	0	0	2	0	0	0	0	1	0	2	1	0	0	0	0	2	1	0	0	0	0	1	2	2	0	0	2	0	0	0	0	0	1	2	0	0	0	0	0	5	0	2	0	0	0	1	0	0	2	0	0	0	1	0	2	0	0	1	5	1	0	0	1	0	0	0	0	0	0	0	1	0	2	0	2	1	1	0	0	0	0	0	0	4	2	0	1	4	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	2	3	0	0	0	0	1	0	2	0	1	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	1	2	0	2	0	1	1	0	0	0	2	0	4	1	0	1	0	0	0	0	1	0	0	1	0	2	0	0	0	1	0	0	0	1	0	2	2	2	1	1	0	2	2	0	1	0	0	2	0	0	0	1	0	2	0	0	0	2	0	0	0	0	0	0	1	0	0	2	0	1	0	0	0	2	0	0	1	0	0	0	0	1	0	4	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	1	4	2	0	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	4	1	0	0	1	0	0	0	7	0	0	0	1	1	0	1	0	1	0	1	1	0	0	0	1	2	0	3	2	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	1	1	0	0	0	0	0	3	0	0	0	0	0	3	1	0	3	1	0	1	0	0	1	0	0	0	28	1	0	3	0	0	1	0	0	6	3	0	0	0	0	0	1	0	0	3	2	0	0	1	0	2	11	4	0	0	0	0	3	0	2	0	0	1	2	1	3	0	0	0	1	0	1	1	0	0	0	1	0	0	1	1	0	0	0	0	2	0	2	0	0	1	3	2	0	0	0	1	1	0	1	0	0	0	1	0	5	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	2	0	0	1	0	0	1	2	4	1	1	0	1	0	0	0	1	0	2	0	0	0	0	0	3	0	0	5	5	0	0	0	0	0	2	0	0	0	2	5	0	0	2	1	1	0	0	0	4
Deadspin	0	0	3	0	0	1	2	1	0	0	0	0	0	0	1	0	5	1	0	0	1	2	0	0	1	0	3	1	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	2	0	1	0	0	0	2	1	2	1	0	0	0	0	1	0	1	1	0	0	0	1	2	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	8	0	1	0	2	0	4	1	0	1	0	2	0	0	0	1	0	0	0	1	1	0	0	1	0	1	0	0	3	0	1	0	0	2	0	0	0	0	0	0	0	5	1	6	0	0	0	0	0	0	1	3	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	1	1	1	0	0	2	0	1	0	0	0	2	0	2	0	0	0	0	1	0	0	0	25	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	2	1	0	1	1	0	0	0	0	0	0	0	0	2	1	0	3	1	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	2	0	2	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	3	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	2	0	0	4	1	1	1	0	0	0	0	0	0	0	1	0	0	2	0	1	1	0	1	0	0	2	2	0	1	0	0	0	1	1	1	2	0	0	0	0	1	1	0	3	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	2	0	0	0	0	0	1	0	0	0	2	0	0	1	1	2	0	0	1	1	2	1	0	2	0	0	0	1	0	0	2	0	0	0	0	0	1	2	1	0	0	3	0	0	0	2	0	0	0	1	0	1	0	0	2	2	1	3	0	0	0	0	0	4	0	0	0	0	3	0	0	0	0	0	2	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	2	0	1	1	1	0	0	2	11	2	0	0	0	0	0	1	0	0	0	2	1	4	0	1	0	0	1	0	0	6	0	0	2	5	0	0	1	1	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0
kottke.org	3	2	13	1	9	2	5	42	4	1	2	2	4	1	2	1	15	4	6	14	13	18	2	1	8	5	3	2	3	20	2	0	2	5	5	3	1	1	3	14	3	0	4	3	2	0	3	5	2	6	2	3	5	2	14	2	3	8	7	11	18	5	14	2	2	4	4	4	1	2	6	1	6	5	1	2	5	1	0	4	8	4	6	9	4	1	5	2	0	8	2	13	7	2	2	3	0	5	2	1	0	2	1	0	7	3	1	13	2	3	2	1	2	2	0	29	3	0	1	3	3	1	0	7	1	9	0	2	1	1	7	2	0	1	3	5	6	0	3	7	4	10	4	2	1	3	0	2	11	4	8	8	6	0	10	1	0	1	18	0	0	5	0	3	0	3	2	5	0	9	2	0	4	0	1	5	0	2	4	8	3	14	3	3	2	22	3	18	7	2	0	0	11	2	5	2	1	6	8	2	4	0	0	4	1	2	4	2	0	5	1	2	0	7	2	3	0	5	4	7	3	1	3	0	4	4	2	9	2	2	2	1	3	0	0	4	5	5	0	2	1	1	1	2	2	0	2	0	1	0	13	2	0	4	1	4	10	1	3	6	10	4	4	1	3	4	7	0	0	5	6	4	3	7	4	5	7	0	8	9	0	1	0	0	2	0	2	2	1	3	5	0	9	16	1	9	4	0	2	3	2	0	3	2	5	6	0	2	1	1	2	8	7	5	5	3	3	2	270	3	4	0	3	3	9	7	1	7	0	2	22	9	3	0	1	2	1	1	9	10	3	8	3	0	3	4	1	18	3	0	4	14	0	2	0	0	8	0	12	6	2	1	3	3	2	8	0	2	13	2	2	2	0	4	0	1	13	0	0	2	2	2	4	2	9	3	1	4	1	5	1	16	1	2	2	3	2	1	2	6	3	1	2	5	9	7	2	7	2	9	2	3	1	14	2	2	3	2	10	5	2	2	3	2	1	4	0	3	5	4	0	3	2	5	4	8	2	0	6	0	2	9	1	6	3	4	6	6	2	0	2	3	5	2	2	3	3	8	1	0	1	20	5	0	2	2	1	10	6	4	2	1	2	6	3	2	2	2	12	0	3	0	39	6	4	3	6	8	5	7	2	2	1	0	0	3	5	10	2	2	3	4	0	15	3	3	30	27	2	1	2	2	0	4	1	3	19	4	4	1	3	9	6	0	2	0	3	13
O'Reilly Radar	10	0	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	1	3	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	2	1	0	0	0	1	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	1	7	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	2	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0
Lifehack	0	4	0	0	0	0	6	5	0	0	0	0	0	0	0	0	0	0	3	5	9	0	1	0	0	0	0	0	0	1	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	2	2	0	0	1	4	0	0	1	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	2	2	0	1	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	4	1	0	1	0	0	0	0	0	0	2	5	0	0	0	0	0	0	20	0	1	0	4	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	2	2	0	0	0	0	6	0	0	0	1	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	3	0	4	0	0	0	0	0	2	0	0	0	1	1	0	4	1	1	20	0	0	0	0	0	0	0	0	2	0	1	1	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	6	2	0	1	0	0	0	0	0	0	3	0	0	1	3	0	0	0	0	2	0	0	0	0	0	0	3	0	0	0	0	1	0	5	1	0	0	2	0	0	0	0	0	2	0	0	5	0	2	0	4	0	0	0	0	0	0	3	0	0	0	0	2	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	1	0	0	0	2	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	2	0	0	0	1	0	0	0	0	0	2	2	2	0	2	0	0	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	3	0	1	0	0	0	1	0	2	1	2	5	0	0	0	0	0	0	0	3	1	0	1	2	0	4	0	0	0	0	1
Lifehacker	0	1	2	0	0	0	4	5	0	0	0	0	0	0	0	0	4	0	2	1	4	1	0	0	0	0	0	0	1	3	0	1	0	0	0	0	0	1	1	1	1	1	5	0	0	0	2	1	1	2	0	1	1	1	0	0	0	0	0	4	1	0	0	0	0	0	0	3	2	0	0	1	0	0	1	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	2	0	0	0	1	0	3	0	0	0	1	0	0	0	2	0	0	0	1	0	1	0	3	0	0	3	0	0	0	0	0	0	2	1	1	2	0	1	0	0	0	0	1	0	1	0	0	1	1	0	1	0	1	0	0	3	0	1	0	0	0	1	0	0	0	5	0	0	0	4	0	0	1	0	2	0	1	0	0	3	0	0	1	3	0	0	1	1	0	1	0	0	0	1	2	1	0	0	0	2	0	0	0	25	1	0	0	0	0	4	1	1	0	0	1	1	0	0	0	0	0	0	0	3	1	0	0	0	1	1	0	3	0	0	0	0	1	1	0	0	0	0	0	0	3	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	5	0	0	0	2	3	0	0	1	2	0	0	0	0	0	0	2	0	3	0	0	0	0	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	3	0	0	1	2	1	1	0	0	0	0	0	0	1	2	0	0	0	0	0	2	0	0	0	1	1	1	1	0	3	3	2	1	1	0	0	2	1	0	2	0	1	0	2	0	1	2	0	0	0	1	0	2	1	1	0	1	2	0	0	0	0	0	0	1	2	0	1	0	0	1	0	2	1	0	0	2	1	0	0	0	2	0	2	0	0	1	1	0	0	0	0	4	1	2	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	2	2	0	0	2	0	2	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	1	0	3	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	5	0	0	1	1	1	1	0	0	0	0
